Challenge Date,IP Address,User Agent,Country,Challenge Type
Thu Sep 26 23:16:39 UTC 2024,107.142.110.131,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Thu Sep 26 23:16:56 UTC 2024,107.142.110.131,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Thu Sep 26 23:23:12 UTC 2024,107.142.110.131,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,PIN_CHALLENGE
Thu Sep 26 23:23:24 UTC 2024,107.142.110.131,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,PIN_CHALLENGE
Mon Oct 07 17:33:09 UTC 2024,107.142.110.131,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Oct 07 17:33:09 UTC 2024,107.142.110.131,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Oct 07 17:33:20 UTC 2024,107.142.110.131,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Tue Oct 08 19:35:57 UTC 2024,107.142.110.131,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",United States,TWO_STEP_VERIFICATION
Tue Oct 08 19:35:57 UTC 2024,107.142.110.131,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",United States,TWO_STEP_VERIFICATION
Tue Oct 08 19:36:01 UTC 2024,107.142.110.131,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",United States,TWO_STEP_VERIFICATION
